caseId,primaryReviewer,secondaryReviewer,entityCorrect,relationCorrect,evidenceCorrect,sourceTypeCorrect,versionCorrect,shouldPublish,status,disagreementReason,notes
req-gf-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-002,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-003,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-004,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-005,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-006,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-007,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-008,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-xw-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-xw-002,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-mr-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-mr-002,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-mr-003,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-skin-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-skin-002,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-skin-003,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-002,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-003,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-004,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-005,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-mr-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-mr-002,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-skin-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-002,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-003,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-004,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-005,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-006,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-gf-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-001,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
