caseId,scenario,windowFamilyId,primaryReviewer,secondaryReviewer,entityCorrect,relationCorrect,evidenceCorrect,driftDecisionCorrect,versionCorrect,shouldPublish,status,disagreementReason,notes
req-gf-001,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-002,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-003,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-004,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-005,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-006,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-007,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-gf-008,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-mr-001,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-mr-002,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-mr-003,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-skin-001,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-skin-002,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
req-skin-003,SINGLE_UNIT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-001,QA_CONFIRMED,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-002,QA_CONFIRMED,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-003,QA_CONFIRMED,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-004,QA_CONFIRMED,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-gf-005,QA_CONFIRMED,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-mr-001,QA_CONFIRMED,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-mr-002,QA_CONFIRMED,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
qa-skin-001,QA_CONFIRMED,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-001,DOUBT_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-002,DOUBT_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-003,DOUBT_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-004,DOUBT_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-005,DOUBT_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-006,DOUBT_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-gf-001,CODE_VERIFIED,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-001,CODE_BOUNDARY_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-800-activation_claim,REAL_WINDOW_COMPOSITE,gf-parent-800,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-800-history_api,REAL_WINDOW_COMPOSITE,gf-parent-800,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-800-reward_api,REAL_WINDOW_COMPOSITE,gf-parent-800,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-800-red_dot_boundary,REAL_WINDOW_COMPOSITE,gf-parent-800,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-800-config_api,REAL_WINDOW_COMPOSITE,gf-parent-800,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-800-red_dot_api,REAL_WINDOW_COMPOSITE,gf-parent-800,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1000-activation_claim,REAL_WINDOW_COMPOSITE,gf-parent-1000,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1000-history_api,REAL_WINDOW_COMPOSITE,gf-parent-1000,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1000-reward_api,REAL_WINDOW_COMPOSITE,gf-parent-1000,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1000-red_dot_boundary,REAL_WINDOW_COMPOSITE,gf-parent-1000,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1000-config_api,REAL_WINDOW_COMPOSITE,gf-parent-1000,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1000-red_dot_api,REAL_WINDOW_COMPOSITE,gf-parent-1000,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1200-activation_claim,REAL_WINDOW_COMPOSITE,gf-parent-1200,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1200-history_api,REAL_WINDOW_COMPOSITE,gf-parent-1200,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1200-reward_api,REAL_WINDOW_COMPOSITE,gf-parent-1200,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1200-red_dot_boundary,REAL_WINDOW_COMPOSITE,gf-parent-1200,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1200-red_dot_api,REAL_WINDOW_COMPOSITE,gf-parent-1200,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1600-activation_claim,REAL_WINDOW_COMPOSITE,gf-parent-1600,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1600-history_api,REAL_WINDOW_COMPOSITE,gf-parent-1600,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1600-reward_api,REAL_WINDOW_COMPOSITE,gf-parent-1600,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1600-red_dot_boundary,REAL_WINDOW_COMPOSITE,gf-parent-1600,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1600-config_api,REAL_WINDOW_COMPOSITE,gf-parent-1600,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
window-gf-1600-red_dot_api,REAL_WINDOW_COMPOSITE,gf-parent-1600,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-growth-fund-red-dot,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-growth-fund-history-claim,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-ancient-war-troop-return,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-ancient-war-material-records,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-mount-star-up-cost-and-button,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-growth-discount-purchase-code,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-ancient-war-retreat-code-entry,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-growth-fund-claim-all,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-mount-attribute-scope,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-normal-growth-fund-red-dot-alt,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-normal-growth-fund-history-alt,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-normal-ancient-war-return-alt,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-normal-ancient-war-record-alt,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-normal-mount-star-alt,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
test-normal-growth-discount-code-alt,RETRIEVAL_TEST_CASE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
drift-gf-claim-api,DOCUMENT_DRIFT_REVIEW,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
drift-gf-claim-all,DOCUMENT_DRIFT_REVIEW,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
drift-gf-reward-rule,DOCUMENT_DRIFT_REVIEW,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
aligned-gf-boundary,NO_DRIFT_CODE_BOUNDARY,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
conflict-world-base,DOCUMENT_CONFLICT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
conflict-world-label,DOCUMENT_CONFLICT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
conflict-battle-score,DOCUMENT_CONFLICT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
doubt-rules-not-drift,OPEN_DOUBT_NO_DRIFT,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-feature-name,CODE_BOUNDARY_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-service-class,CODE_BOUNDARY_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-version-scope,CODE_BOUNDARY_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-retrieval-merge,CODE_BOUNDARY_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-claim-merge,CODE_BOUNDARY_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-alias-merge,CODE_BOUNDARY_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-graph-merge,CODE_BOUNDARY_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
code-boundary-drift-merge,CODE_BOUNDARY_NEGATIVE,,,,,,,,,,HUMAN_REVIEW_REQUIRED,,
